City;Count;Latitude;Longitude;Weight;Comment
Tarrasa;1;41°34′12″N;2°00′47″E;10.0;Weight = 10, letters < 3
Linares (Jaén);1;38°05′N;3°38′W;10.0;Weight = 10, letters < 3
Córdoba;3;37°53′4.22″N;4°46′46.45″W;10.0;Weight = 10, letters < 3
Ceuta;4;35°53′18″N;5°18′56″W;15.0;Weight = 15, letters 3 ~ 6
Pueblo Nuevo del Terrible;2;38°18′0″N;5°16′0″W;10.0;Weight = 10, letters < 3
Arrecife;1;28°57′45″N;13°33′2″W;10.0;Weight = 10, letters < 3
Sans;1;;;10.0;Weight = 10, letters < 3
Pasajes (Guipúzcoa);1;43°19′31″N,;1°55′16″W;10.0;Weight = 10, letters < 3
Algeciras;1;36°7′39″N;5°27′14″W;10.0;Weight = 10, letters < 3
Adeje (Canarias);1;28°7′0″N;16°43′0″W;10.0;Weight = 10, letters < 3
Sanlúcar de Barrameda;2;36°46′N;6°21′W;10.0;Weight = 10, letters < 3
San Cugat;1;41°28′0″N;2°5′0″E;10.0;Weight = 10, letters < 3
Hondón de las Nieves;1;38°18′29″N;0°51′14″W;10.0;Weight = 10, letters < 3
Manresa;1;41°43′46″N;1°49′38″E;10.0;Weight = 10, letters < 3
Id;1;;;10.0;Weight = 10, letters < 3
Ronda;1;36°44′46″N;5°9′40″W;10.0;Weight = 10, letters < 3
Torrevieja;1;37°58′40″N;0°41′0″W;10.0;Weight = 10, letters < 3
Alta Mar;1;;;10.0;Weight = 10, letters < 3
Amposta;1;40°42′38″N;0°34′51″E;10.0;Weight = 10, letters < 3
Santiago;1;42°52′40″N ;8°32′40″W;10.0;Weight = 10, letters < 3
Ceuta;1;35°53′12″N;5°18′0″W;10.0;Weight = 10, letters < 3
Baleares;1;39°30′0″N;3°0′0″E;10.0;Weight = 10, letters < 3
Morata del Tajuña;1;40°13′46″N;3°26′11″W;10.0;Weight = 10, letters < 3
Olot.;1;42°11′0″N;2°29′0″E;10.0;Weight = 10, letters < 3
Pamplona;1;42°49′N;1°39′W;10.0;Weight = 10, letters < 3
Andújar;1;38°2′21.25″N;4°3′2.02″W;10.0;Weight = 10, letters < 3
