,City,Count,Latitude,Longitude,Weight,Comment
115,Torrelavega,1,43°21′11″N,4°2′45″W,10.0,"Weight = 10, letters < 3"
116,Ramla,1,31°55′39″N,34°51′45″E,10.0,"Weight = 10, letters < 3"
117,Tortosa,8,40°48′46″N,0°31′24″E,20.0,"Weight = 20, letters 6 ~ 12"
118,Hoyos,1,39°42′N,6°21′W,10.0,"Weight = 10, letters < 3"
119,Jerez,3,36°40′54″N,06°08′16″W,10.0,"Weight = 10, letters < 3"
120,Puertollano,1,38°41′N,4°7′W,10.0,"Weight = 10, letters < 3"
121,Premiá de Mar,1,41°29′31″N,2°21′43″E,10.0,"Weight = 10, letters < 3"
122,Valdemoro,1,40°11′27″N,3°40′27″W,10.0,"Weight = 10, letters < 3"
125,Tarrasa,3,41°34′12″N,2°00′47″E,10.0,"Weight = 10, letters < 3"
126,Linares (Jaén),1,38°05′N,3°38′W,10.0,"Weight = 10, letters < 3"
130,Arrecife,1,28°57′45″N,13°33′2″W,10.0,"Weight = 10, letters < 3"
134,Sanlúcar de Barrameda,2,36°46′N,6°21′W,10.0,"Weight = 10, letters < 3"
136,Hondón de las Nieves,1,38°18′29″N,0°51′14″W,10.0,"Weight = 10, letters < 3"
137,Nador,2,35°10′0″N,02°56′0″W,10.0,"Weight = 10, letters < 3"
139,Valencia ,3,39°28′00″N,0°22′30″W,10.0,"Weight = 10, letters < 3"
140,Manresa,2,41°43′46″N,1°49′38″E,10.0,"Weight = 10, letters < 3"
142,Ronda,1,36°44′46″N,5°9′40″W,10.0,"Weight = 10, letters < 3"
144,Amposta,1,40°42′38″N,0°34′51″E,10.0,"Weight = 10, letters < 3"
145,Santiago,1,33°27′S,70°40′W,10.0,"Weight = 10, letters < 3"
149,Pamplona,5,42°49′N,1°39′W,15.0,"Weight = 15, letters 3 ~ 6"
150,Andújar,1,38°2′21.25″N,4°3′2.02″W,10.0,"Weight = 10, letters < 3"
151,Avilés,1,43°33′22″N,5°54′30″W,10.0,"Weight = 10, letters < 3"
152,Ceuta,5,35°53′18″N,5°18′56″W,15.0,"Weight = 15, letters 3 ~ 6"
156,Ciudad Real,3,38°59′N,3°55′W,10.0,"Weight = 10, letters < 3"
160,Cuba,1,22°00′N,80°00′W,10.0,"Weight = 10, letters < 3"
161,Coruña,1,43°21′54″N,8°24′36″W,10.0,"Weight = 10, letters < 3"
164,Gandía,1,38°58′N,0°11′W,10.0,"Weight = 10, letters < 3"
168,Segovia,2,40°56′53″N,4°7′6″W,10.0,"Weight = 10, letters < 3"
169,Soria,4,41°46′N,2°28′W,15.0,"Weight = 15, letters 3 ~ 6"
170,Játiva,1,38°59′25″N,0°31′16″W,10.0,"Weight = 10, letters < 3"
172,Habana ,1,23°08′12″N,82°21′32″W,10.0,"Weight = 10, letters < 3"
173,Teruel,1,40°20′37″N,1°6′26″W,10.0,"Weight = 10, letters < 3"
176,Torelló,1,42°02′58″N,2°15′54″E,10.0,"Weight = 10, letters < 3"
179,Crevillente,1,38°14′55″N,0°48′32″W,10.0,"Weight = 10, letters < 3"
180,Osuna,1,37°14′N,05°06′W,10.0,"Weight = 10, letters < 3"
181,Lugo,1,43°01′N,7°33′W,10.0,"Weight = 10, letters < 3"
185,San Hipólito de Voltregá,1,42°1′2″N,2°14′20″E,10.0,"Weight = 10, letters < 3"
187,Navarra,1,42°49′N,1°39′W,10.0,"Weight = 10, letters < 3"
188,Villareal,1,39°56′16″N,0°6′5″W,10.0,"Weight = 10, letters < 3"
191,Sitges ,1,41°14′13″N,1°49′23″E,10.0,"Weight = 10, letters < 3"
192,Morón,1,34°39′S,58°37′W,10.0,"Weight = 10, letters < 3"
